City,AGE,Gender,Nationality,Subject_Area,Years_Higher_Education,Duration_Abroad,ECTS_Anticipated,Special_Needs,Language_Taught,Study_Grant,Placement_Grant
 GRANADA,18,F,ES,223,1,9,54,0,FR,1170,0
 LAS-PAL,18,M,ES,212,3,6,46,0,EN,780,0
 BARCELO,18,M,unknown,589,1,0,22,0,IT,0,900
 BARCELO,18,F,ES,589,1,,,,,,
 BARCELO,18,F,ES,84,1,0,1,0,EN,0,600
 BARCELO,18,F,ES,34,1,0,1,0,EN,0,600
 BARCELO,18,F,ES,34,1,0,1,0,EN,0,600
 BARCELO,18,M,ES,213,2,0,22,0,EN,0,600
 ALICANT,19,F,ES,761,2,0,22,0,EN,0,900
 ALICANT,19,F,ES,761,2,0,0,0,IT,0,2700
 ALICANT,19,M,ES,525,2,0,22,0,EN,0,975
 GRANADA,19,M,ES,21,2,9,60,0,IT,1170,0
 GRANADA,19,F,ES,223,1,9,60,0,EN,1170,0
 MADRID0,19,F,ES,340,2,0,10,0,FR,0,900
 MADRID0,19,F,ES,340,2,0,10,0,FR,0,900
 MADRID0,19,M,ES,340,2,0,10,0,FR,0,900
 MADRID0,19,M,ES,340,2,0,10,0,DE,0,900
 MADRID0,19,F,ES,340,2,0,10,0,FR,0,900
 HUELVA0,19,F,ES,340,2,Sep-25,78,0,EN,1202.5,0
 GRANADA,19,F,ES,223,1,9,60,0,FR,1170,0
 GRANADA,19,M,ES,223,1,8,60,0,FR,1040,0
 GRANADA,19,M,ES,223,1,10,54,0,FR,1470,0
 GRANADA,19,F,ES,223,1,9,60,0,EN,1170,0
 GRANADA,19,M,ES,223,1,9,36,0,DE,1170,0
 GRANADA,19,F,ES,223,1,9,54,0,EN,1170,0
 LLEIDA0,19,M,unknown,349,1,0,0,0,FR,0,600
 GRANADA,19,F,ES,223,1,9,42,0,DE,1170,0
 GRANADA,19,F,ES,223,1,9,60,0,EN,1170,0
 GRANADA,19,F,ES,223,1,9,48,0,EN,1170,0
 GRANADA,19,M,ES,523,2,0,22,0,EN,0,600
 GUADALA,19,F,ES,725,1,0,40,0,EN,0,900
 LAS-PAL,19,F,ES,345,1,0,0,0,EN,0,675
 LAS-PAL,19,M,ES,811,1,0,0,0,EN,0,675
 GRANADA,19,F,ES,223,1,9,48,0,EN,1170,0
 GRANADA,19,F,ES,223,1,9,60,0,FR,1170,0
 GRANADA,19,M,ES,223,1,9,48,0,EN,1170,0
 CIUDA-R,19,F,ES,769,2,0,0,0,IT,0,975
 GRANADA,19,F,ES,21,2,6,30,0,EN,780,0
 GRANADA,19,F,ES,223,1,10,54,0,FR,1300,0
 GRANADA,19,F,ES,223,1,9,60,0,EN,1170,0
 HUELVA1,19,M,ES,214,2,0,0,0,IT,0,600
 HUESCA0,19,F,ES,811,1,0,0,0,FR,0,675
 GRANADA,19,F,ES,223,1,9,54,0,EN,1170,0
 GRANADA,19,M,ES,223,1,9,60,0,EN,1170,0
 LA-CORU,19,F,ES,222,1,08. Mai,60,0,EN,1105,0
 GRANADA,19,F,ES,223,1,9,48,0,DE,1170,0
 GRANADA,19,F,ES,223,1,9,60,0,EN,1170,0
 GRANADA,19,F,ES,223,1,5,42,0,IT,650,0
 GRANADA,19,F,ES,223,1,8,60,0,FR,1040,0
 GRANADA,19,F,RO,223,1,9,48,0,FR,1170,0
 GRANADA,19,F,ES,223,1,9,54,0,DE,1170,0
 GRANADA,19,F,ES,223,1,9,60,0,EN,1170,0
 GRANADA,19,F,ES,223,1,9,60,0,EN,1170,0
 GRANADA,19,F,ES,223,1,9,48,0,EN,1170,0
 GRANADA,19,F,ES,223,1,10,54,0,DE,1300,0
 GIRONA1,19,M,ES,214,2,9,60,0,EN,1170,0
 GIRONA1,19,F,ES,214,2,07. Mai,60,0,EN,975,0
 GRANADA,19,F,ES,223,1,9,48,0,DE,1170,0
 GRANADA,19,F,ES,223,1,9,48,0,EN,1170,0
 GRANADA,19,F,ES,14,1,9,54,0,PL,1170,0
 GRANADA,19,F,ES,223,1,10,51,0,DE,1300,0
 GRANADA,19,F,ES,223,1,9,54,0,FR,1170,0
 GRANADA,19,F,ES,14,1,9,39,0,NL,1170,0
 GRANADA,19,F,ES,223,1,10,60,0,DE,1300,0
 CADIZ01,19,F,ES,1,2,10,42,0,FR,1300,0
 LAS-PAL,19,M,ES,481,1,0,0,0,EN,0,600
 GRANADA,19,F,ES,223,1,10,48,0,DE,1300,0
 HUESCA1,19,M,ES,620,2,0,0,0,FR,0,825
 GRANADA,19,F,ES,223,1,9,42,0,EN,1170,0
 GRANADA,19,F,ES,223,1,10,30,0,FR,1300,0
 GRANADA,19,M,ES,223,1,9,54,0,EN,1170,0
 GRANADA,19,F,ES,223,1,9,48,0,EN,1170,0
 GRANADA,19,F,unknown,223,1,9,48,0,FR,1170,0
 LA-CORU,19,M,ES,42,2,10. Mai,30,0,EN,1300,0
 LA-CORU,19,F,ES,222,1,08. Mai,60,0,EN,1105,0
 MADRID0,19,M,ES,34,1,6,30,0,FR,780,0
 GRANADA,19,M,ES,223,1,9,48,0,FR,1170,0
 GRANADA,19,F,ES,223,1,9,60,0,EN,1170,0
 LAS-PAL,19,M,ES,725,1,,,,,,
 LAS-PAL,19,F,ES,729,1,,,,,,
 LAS-PAL,19,F,unknown,345,1,0,0,0,EN,0,600
 GRANADA,19,F,ES,223,1,9,42,0,EN,1170,0
 GRANADA,19,F,ES,223,1,9,54,0,EN,1170,0
